epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.01,1.6671,3.74534,1.90688,0.00812,0.77226,0.14023,0.06813,1.56333,4.14676,2.00554,0.0002499,0.0002499,0.0002499
2,365.842,1.61888,3.19737,1.83731,0.84772,0.10898,0.14104,0.05902,1.67925,3.8079,2.11949,0.000498069,0.000498069,0.000498069
3,535.242,1.67842,3.04841,1.87867,0.87847,0.10297,0.16012,0.07984,1.72251,3.03975,2.25825,0.000736012,0.000736012,0.000736012
4,705.209,1.60071,2.85354,1.79565,0.32402,0.23449,0.22875,0.10702,1.6198,3.22187,2.08359,0.00078352,0.00078352,0.00078352
5,876.179,1.65448,2.72474,1.8239,0.33832,0.31197,0.25544,0.11092,1.55519,3.14953,2.09557,0.000767026,0.000767026,0.000767026
6,1049.29,1.61452,2.66961,1.81758,0.59559,0.2469,0.27884,0.1442,1.62803,3.18074,2.09951,0.000750533,0.000750533,0.000750533
7,1228.9,1.5913,2.60318,1.78306,0.47371,0.44149,0.38584,0.20321,1.61878,2.87342,2.07701,0.00073404,0.00073404,0.00073404
8,1404.74,1.58295,2.52138,1.7733,0.76987,0.27517,0.38693,0.20969,1.69888,2.80885,2.08023,0.000717546,0.000717546,0.000717546
9,1585.13,1.5653,2.29665,1.76167,0.40564,0.31024,0.33645,0.17189,1.61359,2.98008,2.03627,0.000701053,0.000701053,0.000701053
10,1808.82,1.53057,2.29067,1.71561,0.48861,0.40298,0.42474,0.24232,1.48406,2.37102,1.84552,0.000684559,0.000684559,0.000684559
11,2020.73,1.51712,2.22573,1.71127,0.44864,0.48384,0.41487,0.23397,1.37832,2.46405,1.82561,0.000668066,0.000668066,0.000668066
1,216.626,1.8789,4.66634,2.27455,0.00447,0.69818,0.06319,0.02857,1.5435,4.4706,2.15904,0.00012495,0.00012495,0.00012495
2,432.388,1.6578,4.131,2.06557,0.0045,0.78032,0.14741,0.07222,1.52288,4.27532,2.0245,0.000232665,0.000232665,0.000232665
3,660.207,1.68054,3.7009,2.04692,0.34904,0.53701,0.22336,0.10216,1.73938,4.18057,2.23538,0.000313991,0.000313991,0.000313991
4,841.926,1.73528,3.52311,2.06876,0.78378,0.14126,0.22945,0.12051,1.75112,3.74502,2.15875,0.000368927,0.000368927,0.000368927
5,1017.78,1.65727,3.31071,2.02442,0.79345,0.19141,0.29612,0.15696,1.69825,3.55646,2.14597,0.000397474,0.000397474,0.000397474
6,1192.75,1.60766,3.12487,1.95043,0.67722,0.26169,0.34518,0.1766,1.68428,3.44498,2.06499,0.000399632,0.000399632,0.000399632
7,1372.14,1.58802,2.98056,1.91903,0.54575,0.36334,0.33845,0.16506,1.79093,3.32597,2.16643,0.000338198,0.000338198,0.000338198
8,1553.58,1.55093,2.86271,1.86619,0.79517,0.41665,0.51762,0.31048,1.63521,2.73926,1.96383,0.000255731,0.000255731,0.000255731
9,1735.67,1.45922,2.65074,1.78293,0.73159,0.47961,0.52996,0.32895,1.47288,2.5909,1.80614,0.000173264,0.000173264,0.000173264
10,1918.14,1.41659,2.50455,1.76333,0.67381,0.54507,0.60175,0.38575,1.39529,2.47049,1.73438,9.0797e-05,9.0797e-05,9.0797e-05
